product_name,product_url,product_price,Product_img
Haywood - Gunmetal,https://www.glassesshop.com/eyeglasses/fm1352,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Ezekiel - Burgundy,https://www.glassesshop.com/eyeglasses/fz1278,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Genevieve - Cyan Tortoise,https://www.glassesshop.com/eyeglasses/fz1270,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Genevieve - Purple Tortoise,https://www.glassesshop.com/eyeglasses/fz1269,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Murphy - Tortoise,https://www.glassesshop.com/eyeglasses/fp1747,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Burke - Golden,https://www.glassesshop.com/eyeglasses/fm1243,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Jean - Red,https://www.glassesshop.com/eyeglasses/fp1717,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Isaiah - Blue,https://www.glassesshop.com/eyeglasses/fp1642,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Cooksville - Tortoise,https://www.glassesshop.com/eyeglasses/fp1568,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Prince - Tortoise,https://www.glassesshop.com/eyeglasses/fp1438,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Mandy - Tortoise/Pink,https://www.glassesshop.com/eyeglasses/fz1087,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Nicole - Multicolor,https://www.glassesshop.com/eyeglasses/fz1083,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Isaiah - Tortoise,https://www.glassesshop.com/eyeglasses/fp1643,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Murphy - Black,https://www.glassesshop.com/eyeglasses/fp1746,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Earl - Black/Crystal,https://www.glassesshop.com/eyeglasses/fp1662,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Thomasville - Crystal,https://www.glassesshop.com/eyeglasses/fp1563,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Joyce - Brown,https://www.glassesshop.com/eyeglasses/fp1504,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Steven - Black/Crystal,https://www.glassesshop.com/eyeglasses/fp0481,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Hyannis - Tortoise,https://www.glassesshop.com/eyeglasses/fp1112,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Sudbury - Black,https://www.glassesshop.com/eyeglasses/fp0611,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Wilker - Black,https://www.glassesshop.com/eyeglasses/sup0622,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Hillsborough - Black/Chocolate,https://www.glassesshop.com/eyeglasses/fp0989,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Owen - Blue/Crystal,https://www.glassesshop.com/eyeglasses/fp1649,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Evansville - Blue,https://www.glassesshop.com/eyeglasses/fp1364,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Kelowna - Brown,https://www.glassesshop.com/eyeglasses/fp1409,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Mandy - Tortoise,https://www.glassesshop.com/eyeglasses/fz1089,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Callan - Black,https://www.glassesshop.com/eyeglasses/fp0985,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Kerlins - Multicolor,https://www.glassesshop.com/eyeglasses/sup0658,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Jean - Tortoise,https://www.glassesshop.com/eyeglasses/fp1718,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Hume - Brown/Crystal,https://www.glassesshop.com/eyeglasses/fz1298,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Darcy - Black,https://www.glassesshop.com/eyeglasses/sm0787,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Averies - Blue,https://www.glassesshop.com/eyeglasses/fp1829,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Arlene - Crystal/Tortoise,https://www.glassesshop.com/eyeglasses/fp1763,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Butler - Gray,https://www.glassesshop.com/eyeglasses/fp1843,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Terre - Golden,https://www.glassesshop.com/eyeglasses/rm0247,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Mandy - Black,https://www.glassesshop.com/eyeglasses/fz1090,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Averies - Mblack,https://www.glassesshop.com/eyeglasses/fp1830,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Arlene - Black,https://www.glassesshop.com/eyeglasses/fp1762,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Miami - Tortoise,https://www.glassesshop.com/eyeglasses/fz0981,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Lexingto - Clear Pattern,https://www.glassesshop.com/eyeglasses/fp1694,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Ezekiel - Blue,https://www.glassesshop.com/eyeglasses/fz1279,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Winchester - Black,https://www.glassesshop.com/eyeglasses/fp1774,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Owen - Black/Crystal,https://www.glassesshop.com/eyeglasses/fp1650,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Prince - Black/Red,https://www.glassesshop.com/eyeglasses/fp1437,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Cooksville - Red,https://www.glassesshop.com/eyeglasses/fp1566,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Arad - Mblack/Pink,https://www.glassesshop.com/eyeglasses/fp1864,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Vivian - Black,https://www.glassesshop.com/eyeglasses/fz1249,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Novia - Black/Crystal,https://www.glassesshop.com/eyeglasses/fp1697,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Angel  Wayframe - Black,https://www.glassesshop.com/eyeglasses/fp1646,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Trenton - Brown,https://www.glassesshop.com/eyeglasses/fp1232,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Celeste - Black,https://www.glassesshop.com/eyeglasses/fp1180,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Hume - Black,https://www.glassesshop.com/eyeglasses/fz1299,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Osmond - Black,https://www.glassesshop.com/eyeglasses/fp1734,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Brunswick - Black,https://www.glassesshop.com/eyeglasses/fm1017,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Omar - Gunmetal,https://www.glassesshop.com/eyeglasses/fm1271,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Heather - Brown,https://www.glassesshop.com/eyeglasses/fp1704,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Earl - Brown,https://www.glassesshop.com/eyeglasses/fp1663,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Arlene - Purple,https://www.glassesshop.com/eyeglasses/fp1764,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Darlene - Purple,https://www.glassesshop.com/eyeglasses/fp1181,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Mika - Multicolor,https://www.glassesshop.com/eyeglasses/sup0652,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Omar - Black,https://www.glassesshop.com/eyeglasses/fm1269,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Thomasville - Blue,https://www.glassesshop.com/eyeglasses/fp1565,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Watertown - Brown,https://www.glassesshop.com/eyeglasses/fp1804,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Rainbow - Multicolor,https://www.glassesshop.com/eyeglasses/fp1658,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Earl - Black/Blue,https://www.glassesshop.com/eyeglasses/fp1664,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Binghamton - Blue,https://www.glassesshop.com/eyeglasses/fp1811,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Miami - Crystal,https://www.glassesshop.com/eyeglasses/fz0983,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Oswald - Gray,https://www.glassesshop.com/eyeglasses/fp1740,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Broderick - Black,https://www.glassesshop.com/eyeglasses/sm0877,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
BowlingGreen - Black,https://www.glassesshop.com/eyeglasses/fp0917,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
Utica - Green,https://www.glassesshop.com/eyeglasses/fp1801,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg"
product_name,product_url,product_price,Product_img,next
Taurus - Black,https://www.glassesshop.com/eyeglasses/fp2043,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Oberlin - Black,https://www.glassesshop.com/eyeglasses/fp2035,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Oberlin - Brown,https://www.glassesshop.com/eyeglasses/fp2032,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Rainbow - Polychrome,https://www.glassesshop.com/eyeglasses/fp2013,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Lindsay - Petal Tortoise,https://www.glassesshop.com/eyeglasses/fz1382,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Dubois - Golden,https://www.glassesshop.com/eyeglasses/ft0326,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Maltz - Petal Tortoise,https://www.glassesshop.com/eyeglasses/fz1370,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Celia - Rose Gold,https://www.glassesshop.com/eyeglasses/fm1387,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Whit - Black,https://www.glassesshop.com/eyeglasses/ft0301,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Hume - Tortoise/Brown,https://www.glassesshop.com/eyeglasses/fz1297,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Haywood - Black/Rose Gold,https://www.glassesshop.com/eyeglasses/fm1354,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Genevieve - Tortoise,https://www.glassesshop.com/eyeglasses/fz1268,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Vivian - Multicolor,https://www.glassesshop.com/eyeglasses/fz1250,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Rochester - Black/Golden,https://www.glassesshop.com/eyeglasses/fm1263,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Jean - Black,https://www.glassesshop.com/eyeglasses/fp1719,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Mandy - Crystal,https://www.glassesshop.com/eyeglasses/fz1088,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Poppy - Multicolor,https://www.glassesshop.com/eyeglasses/fz1032,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Fresno - Tortoise,https://www.glassesshop.com/eyeglasses/fp2038,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Cooksville - Champagne,https://www.glassesshop.com/eyeglasses/fp2010,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Asheville - Champagne,https://www.glassesshop.com/eyeglasses/fp1992,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Asheville - Crystal,https://www.glassesshop.com/eyeglasses/fp1991,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Asheville - Pink,https://www.glassesshop.com/eyeglasses/fp1990,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Bronx - Black,https://www.glassesshop.com/eyeglasses/fp1979,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Eleanor - Pink Tortoise,https://www.glassesshop.com/eyeglasses/fp1948,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Laurie - Petal Tortoise,https://www.glassesshop.com/eyeglasses/fz1386,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Milne - Crystal,https://www.glassesshop.com/eyeglasses/fz1358,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Annabel - Rose Gold,https://www.glassesshop.com/eyeglasses/ft0304,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Vogt - Multicolor,https://www.glassesshop.com/eyeglasses/fz1320,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Wilsen - Multicolor,https://www.glassesshop.com/eyeglasses/fz1315,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Tacab - Gray,https://www.glassesshop.com/eyeglasses/fp1831,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Averies - Pink,https://www.glassesshop.com/eyeglasses/fp1828,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Butler - Black,https://www.glassesshop.com/eyeglasses/fp1841,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Horatio - Gunmetal,https://www.glassesshop.com/eyeglasses/sm0876,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Haywood - Gunmetal,https://www.glassesshop.com/eyeglasses/fm1352,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Ezekiel - Burgundy,https://www.glassesshop.com/eyeglasses/fz1278,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Genevieve - Cyan Tortoise,https://www.glassesshop.com/eyeglasses/fz1270,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Genevieve - Purple Tortoise,https://www.glassesshop.com/eyeglasses/fz1269,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Murphy - Tortoise,https://www.glassesshop.com/eyeglasses/fp1747,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Burke - Golden,https://www.glassesshop.com/eyeglasses/fm1243,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Jean - Red,https://www.glassesshop.com/eyeglasses/fp1717,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Isaiah - Blue,https://www.glassesshop.com/eyeglasses/fp1642,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Cooksville - Tortoise,https://www.glassesshop.com/eyeglasses/fp1568,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Prince - Tortoise,https://www.glassesshop.com/eyeglasses/fp1438,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Mandy - Tortoise/Pink,https://www.glassesshop.com/eyeglasses/fz1087,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Nicole - Multicolor,https://www.glassesshop.com/eyeglasses/fz1083,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Isaiah - Tortoise,https://www.glassesshop.com/eyeglasses/fp1643,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Murphy - Black,https://www.glassesshop.com/eyeglasses/fp1746,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Earl - Black/Crystal,https://www.glassesshop.com/eyeglasses/fp1662,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Thomasville - Crystal,https://www.glassesshop.com/eyeglasses/fp1563,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Joyce - Brown,https://www.glassesshop.com/eyeglasses/fp1504,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
Steven - Black/Crystal,https://www.glassesshop.com/eyeglasses/fp0481,$24.95,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e43690b02bb9.jpg",https://www.glassesshop.com/bestsellers?page=2
